commit_id,confidence_high,confidence_medium,confidence_low,severity_high,severity_medium,severity_low,unique_cwes
9af32e07968166d073a39d8581b2ac8e422c9116,355,0,0,3,0,352,"330, 502, 78, 703"
9c5a43241f774930e958447b61a83b8bbd94fb21,346,0,0,3,0,343,"330, 502, 78, 703"
9df81abbb642553b36ab18e877774189b910d2a8,371,0,0,3,0,368,"330, 502, 78, 703"
9f23b599f369cdd873c0cf3dd9e69567234d78fb,349,0,0,3,0,346,"330, 502, 78, 703"
9fc1ce2eb04cbe9ca9321949c3962015c2699a06,350,0,0,3,0,347,"330, 502, 78, 703"
a318f3919c1a1b66c0cc01f28e331d5ca612130b,346,0,0,3,0,343,"330, 502, 78, 703"
a4f28a1bdebae67c67d70082de38256e80a0f253,350,0,0,3,0,347,"330, 502, 78, 703"
aac4328e593e8764c6a3face67961f955d64bb74,346,0,0,3,0,343,"330, 502, 78, 703"
ab5117a9ddbd04e23bf9b703a3e1b7ef09490222,349,0,0,3,0,346,"330, 502, 78, 703"
ad6df50908fca071ac8ad6558453bb28b522f794,366,0,0,3,0,363,"330, 502, 78, 703"
b07dec3931e0f1a840209f7d62e80ec2913e0ae8,349,0,0,3,0,346,"330, 502, 78, 703"
b13464629ea0b77cb1b0d4c77bc518efba315151,355,0,0,3,0,352,"330, 502, 78, 703"
b87e645c010afa1658ea66a13f8bcc5662a543d0,343,0,0,3,0,340,"330, 502, 78, 703"
b92b6fa46819452ef8d9b06b2df9f0747c986187,349,0,0,3,0,346,"330, 502, 78, 703"
c7a784295f548fe2b6d35dee8dc6bff7bb40a8d8,349,0,0,3,0,346,"330, 502, 78, 703"
ca453f52a92c4b2c2e94a557239e76254b3d3bdc,356,0,0,3,0,353,"330, 502, 78, 703"
cc0569100fab825e367dd7ca26beaeefb56e1f68,355,0,0,3,0,352,"330, 502, 78, 703"
cede9b6e6db5319687de45db280d684945464f25,356,0,0,3,0,353,"330, 502, 78, 703"
cff604e90bc562dee16a32efbe6b4471d3e64105,346,0,0,3,0,343,"330, 502, 78, 703"
d134073f44701fb28126e73bd952c666d3adc68e,349,0,0,3,0,346,"330, 502, 78, 703"
d1439f9162af370d8295c640ed4ae13e933170d4,349,0,0,3,0,346,"330, 502, 78, 703"
d774fec477a8f57d24b588164ebdd39b2d507bcd,367,0,0,3,0,364,"330, 502, 78, 703"
d825a9426e68593990a5bd1069b23b05abdedee7,352,0,0,3,0,349,"330, 502, 78, 703"
da09c060a007fe7fddde27592e4f63ae1e8697bc,350,0,0,3,0,347,"330, 502, 78, 703"
db698a52bbb1eb8cc34e889a8afdac6f17a99e57,367,0,0,3,0,364,"330, 502, 78, 703"
df07c90ffee61e05448733aa1e205b46c116341a,349,0,0,3,0,346,"330, 502, 78, 703"
e4e2f8e0ef9e4bd71359b781058d01322b7decf9,349,0,0,3,0,346,"330, 502, 78, 703"
e614fde656819f3d6ac50247432ec9f648312f5c,349,0,0,3,0,346,"330, 502, 78, 703"
f3dfc4be0c6ec36c2db6b4afa075004e71adf87e,352,0,0,3,0,349,"330, 502, 78, 703"
f3e78cd4d9500d287bd11ec5d08a1f351601028d,371,0,0,3,0,368,"330, 502, 78, 703"
f991928c10e15fec25622b8959f5e76ee8ff69c5,364,0,0,3,0,361,"330, 502, 78, 703"
fbb0e21d3fb6d4e38bd2065347068319043c66ac,371,0,0,3,0,368,"330, 502, 78, 703"
